"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-lr-6e4 - train/loss","MIN","MAX"
"12","11","11","11","10.7948","10.7948","10.7948"
"35","34","34","34","9.6294","9.6294","9.6294"
"36","35","35","35","9.6111","9.6111","9.6111"
"46","45","45","45","9.3784","9.3784","9.3784"
"48","47","47","47","9.3277","9.3277","9.3277"
"70","69","69","69","8.702","8.702","8.702"
"102","101","101","101","7.9047","7.9047","7.9047"
"105","104","104","104","7.8438","7.8438","7.8438"
"109","108","108","108","7.7722","7.7722","7.7722"
"113","112","112","112","7.681","7.681","7.681"
"121","120","120","120","7.5912","7.5912","7.5912"
"133","132","132","132","7.4147","7.4147","7.4147"
"135","134","134","134","7.3864","7.3864","7.3864"
"145","144","144","144","7.2722","7.2722","7.2722"
"146","145","145","145","7.2367","7.2367","7.2367"
"154","153","153","153","7.1769","7.1769","7.1769"
"155","154","154","154","7.1483","7.1483","7.1483"
"187","186","186","186","6.7945","6.7945","6.7945"
"195","194","194","194","6.7303","6.7303","6.7303"
"196","195","195","195","6.7177","6.7177","6.7177"
"208","207","207","207","6.6074","6.6074","6.6074"
"211","210","210","210","6.5775","6.5775","6.5775"
"229","228","228","228","6.4687","6.4687","6.4687"
"230","229","229","229","6.4363","6.4363","6.4363"
"232","231","231","231","6.4327","6.4327","6.4327"
"239","238","238","238","6.3611","6.3611","6.3611"
"251","250","250","250","6.2927","6.2927","6.2927"
"252","251","251","251","6.2947","6.2947","6.2947"
"257","256","256","256","6.287","6.287","6.287"
"258","257","257","257","6.2443","6.2443","6.2443"
"269","268","268","268","6.1601","6.1601","6.1601"
"277","276","276","276","6.1556","6.1556","6.1556"
"299","298","298","298","5.9798","5.9798","5.9798"
"322","321","321","321","5.8879","5.8879","5.8879"
"323","322","322","322","5.8847","5.8847","5.8847"
"325","324","324","324","5.8501","5.8501","5.8501"
"339","338","338","338","5.8762","5.8762","5.8762"
"354","353","353","353","5.7284","5.7284","5.7284"
"380","379","379","379","5.7516","5.7516","5.7516"
"383","382","382","382","5.6727","5.6727","5.6727"
"384","383","383","383","5.6876","5.6876","5.6876"
"407","406","406","406","5.5082","5.5082","5.5082"
"410","409","409","409","5.5307","5.5307","5.5307"
"412","411","411","411","5.5753","5.5753","5.5753"
"425","424","424","424","5.5364","5.5364","5.5364"
"435","434","434","434","5.4523","5.4523","5.4523"
"442","441","441","441","5.4064","5.4064","5.4064"
"446","445","445","445","5.3969","5.3969","5.3969"
"465","464","464","464","5.3337","5.3337","5.3337"
"470","469","469","469","5.3373","5.3373","5.3373"
"485","484","484","484","5.2736","5.2736","5.2736"
"486","485","485","485","5.2438","5.2438","5.2438"
"496","495","495","495","5.2289","5.2289","5.2289"
"506","505","505","505","5.2168","5.2168","5.2168"
"508","507","507","507","5.2099","5.2099","5.2099"
"513","512","512","512","5.2455","5.2455","5.2455"
"542","541","541","541","5.4176","5.4176","5.4176"
"553","552","552","552","5.2478","5.2478","5.2478"
"563","562","562","562","5.1625","5.1625","5.1625"
"587","586","586","586","5.0285","5.0285","5.0285"
"595","594","594","594","5.0043","5.0043","5.0043"
"597","596","596","596","4.9678","4.9678","4.9678"
"604","603","603","603","4.9565","4.9565","4.9565"
"623","622","622","622","4.8604","4.8604","4.8604"
"627","626","626","626","4.8336","4.8336","4.8336"
"636","635","635","635","4.8199","4.8199","4.8199"
"637","636","636","636","4.8288","4.8288","4.8288"
"638","637","637","637","4.8159","4.8159","4.8159"
"641","640","640","640","4.802","4.802","4.802"
"653","652","652","652","4.7654","4.7654","4.7654"
"697","696","696","696","4.6311","4.6311","4.6311"
"703","702","702","702","4.5813","4.5813","4.5813"
"707","706","706","706","4.5881","4.5881","4.5881"
"711","710","710","710","4.552","4.552","4.552"
"718","717","717","717","4.555","4.555","4.555"
"721","720","720","720","4.5786","4.5786","4.5786"
"729","728","728","728","4.5525","4.5525","4.5525"
"742","741","741","741","4.5298","4.5298","4.5298"
"770","769","769","769","4.4381","4.4381","4.4381"
"774","773","773","773","4.4765","4.4765","4.4765"
"786","785","785","785","4.4127","4.4127","4.4127"
"815","814","814","814","4.4247","4.4247","4.4247"
"819","818","818","818","4.3887","4.3887","4.3887"
"837","836","836","836","4.2972","4.2972","4.2972"
"851","850","850","850","4.3312","4.3312","4.3312"
"861","860","860","860","4.3185","4.3185","4.3185"
"881","880","880","880","4.2901","4.2901","4.2901"
"882","881","881","881","4.3065","4.3065","4.3065"
"907","906","906","906","4.2554","4.2554","4.2554"
"917","916","916","916","4.1711","4.1711","4.1711"
"979","978","978","978","4.129","4.129","4.129"
"983","982","982","982","4.1232","4.1232","4.1232"
"994","993","993","993","4.11","4.11","4.11"
"997","996","996","996","4.1015","4.1015","4.1015"
"999","998","998","998","4.0894","4.0894","4.0894"
"1004","1003","1003","1003","4.1009","4.1009","4.1009"
"1009","1008","1008","1008","4.1037","4.1037","4.1037"
"1013","1012","1012","1012","4.1178","4.1178","4.1178"
"1024","1023","1023","1023","4.0401","4.0401","4.0401"
"1030","1029","1029","1029","4.0816","4.0816","4.0816"
"1051","1050","1050","1050","4.056","4.056","4.056"
"1070","1069","1069","1069","4.0843","4.0843","4.0843"
