"train/global_step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-tied-123m-zloss-lr6e4 - train/loss","MIN","MAX"
"8","7","7","7","10.973","10.973","10.973"
"16","15","15","15","10.508","10.508","10.508"
"17","16","16","16","10.4667","10.4667","10.4667"
"23","22","22","22","10.0816","10.0816","10.0816"
"29","28","28","28","9.802","9.802","9.802"
"58","57","57","57","9.0636","9.0636","9.0636"
"59","58","58","58","9.0222","9.0222","9.0222"
"86","85","85","85","8.2527","8.2527","8.2527"
"88","87","87","87","8.2058","8.2058","8.2058"
"89","88","88","88","8.1841","8.1841","8.1841"
"90","89","89","89","8.1627","8.1627","8.1627"
"92","91","91","91","8.109","8.109","8.109"
"109","108","108","108","7.7739","7.7739","7.7739"
"112","111","111","111","7.7194","7.7194","7.7194"
"117","116","116","116","7.6282","7.6282","7.6282"
"118","117","117","117","7.6152","7.6152","7.6152"
"127","126","126","126","7.5136","7.5136","7.5136"
"132","131","131","131","7.4496","7.4496","7.4496"
"134","133","133","133","7.4269","7.4269","7.4269"
"156","155","155","155","7.1366","7.1366","7.1366"
"160","159","159","159","7.1125","7.1125","7.1125"
"167","166","166","166","7.0295","7.0295","7.0295"
"203","202","202","202","6.6678","6.6678","6.6678"
"206","205","205","205","6.628","6.628","6.628"
"211","210","210","210","6.5834","6.5834","6.5834"
"213","212","212","212","6.5543","6.5543","6.5543"
"216","215","215","215","6.5589","6.5589","6.5589"
"243","242","242","242","6.3369","6.3369","6.3369"
"244","243","243","243","6.3416","6.3416","6.3416"
"264","263","263","263","6.2153","6.2153","6.2153"
"273","272","272","272","6.1673","6.1673","6.1673"
"299","298","298","298","6.0001","6.0001","6.0001"
"300","299","299","299","6.0029","6.0029","6.0029"
"306","305","305","305","5.9783","5.9783","5.9783"
"327","326","326","326","5.8795","5.8795","5.8795"
"349","348","348","348","5.7618","5.7618","5.7618"
"376","375","375","375","5.705","5.705","5.705"
"377","376","376","376","5.6705","5.6705","5.6705"
"393","392","392","392","5.5896","5.5896","5.5896"
"406","405","405","405","5.5249","5.5249","5.5249"
"427","426","426","426","5.5103","5.5103","5.5103"
"439","438","438","438","5.4452","5.4452","5.4452"
"459","458","458","458","5.3966","5.3966","5.3966"
"471","470","470","470","5.3542","5.3542","5.3542"
"491","490","490","490","5.2316","5.2316","5.2316"
"494","493","493","493","5.2261","5.2261","5.2261"
"496","495","495","495","5.2094","5.2094","5.2094"
"498","497","497","497","5.2227","5.2227","5.2227"
"508","507","507","507","5.2259","5.2259","5.2259"
"511","510","510","510","5.2143","5.2143","5.2143"
"525","524","524","524","5.7788","5.7788","5.7788"
"538","537","537","537","5.399","5.399","5.399"
"566","565","565","565","5.0923","5.0923","5.0923"
"577","576","576","576","5.0554","5.0554","5.0554"
"586","585","585","585","4.9972","4.9972","4.9972"
"594","593","593","593","4.9829","4.9829","4.9829"
"603","602","602","602","4.9319","4.9319","4.9319"
"608","607","607","607","4.8982","4.8982","4.8982"
"609","608","608","608","4.8983","4.8983","4.8983"
"627","626","626","626","4.8074","4.8074","4.8074"
"629","628","628","628","4.796","4.796","4.796"
"634","633","633","633","4.7921","4.7921","4.7921"
"637","636","636","636","4.8","4.8","4.8"
"668","667","667","667","4.7033","4.7033","4.7033"
"697","696","696","696","4.6097","4.6097","4.6097"
"711","710","710","710","4.5417","4.5417","4.5417"
"712","711","711","711","4.57","4.57","4.57"
"722","721","721","721","4.517","4.517","4.517"
"724","723","723","723","4.529","4.529","4.529"
"742","741","741","741","4.5062","4.5062","4.5062"
"746","745","745","745","4.4883","4.4883","4.4883"
"764","763","763","763","4.4711","4.4711","4.4711"
"778","777","777","777","4.4261","4.4261","4.4261"
"789","788","788","788","4.4154","4.4154","4.4154"
"806","805","805","805","4.3986","4.3986","4.3986"
"818","817","817","817","4.3629","4.3629","4.3629"
"826","825","825","825","4.3682","4.3682","4.3682"
"829","828","828","828","4.3782","4.3782","4.3782"
"833","832","832","832","4.3559","4.3559","4.3559"
"836","835","835","835","4.3716","4.3716","4.3716"
"837","836","836","836","4.3049","4.3049","4.3049"
"842","841","841","841","4.31","4.31","4.31"
"846","845","845","845","4.3114","4.3114","4.3114"
"854","853","853","853","4.268","4.268","4.268"
"856","855","855","855","4.2807","4.2807","4.2807"
"858","857","857","857","4.2676","4.2676","4.2676"
"868","867","867","867","4.2937","4.2937","4.2937"
"869","868","868","868","4.2932","4.2932","4.2932"
"876","875","875","875","4.2846","4.2846","4.2846"
"881","880","880","880","4.3082","4.3082","4.3082"
"885","884","884","884","4.2646","4.2646","4.2646"
"889","888","888","888","4.2186","4.2186","4.2186"
"907","906","906","906","4.2409","4.2409","4.2409"
"909","908","908","908","4.2278","4.2278","4.2278"
"922","921","921","921","4.1824","4.1824","4.1824"
"935","934","934","934","4.2155","4.2155","4.2155"
"936","935","935","935","4.2174","4.2174","4.2174"
"938","937","937","937","4.2192","4.2192","4.2192"
"958","957","957","957","4.1514","4.1514","4.1514"
"963","962","962","962","4.1445","4.1445","4.1445"
"974","973","973","973","4.1341","4.1341","4.1341"
"983","982","982","982","4.1402","4.1402","4.1402"
"1002","1001","1001","1001","4.0965","4.0965","4.0965"
"1003","1002","1002","1002","4.1183","4.1183","4.1183"
"1004","1003","1003","1003","4.1022","4.1022","4.1022"
"1025","1024","1024","1024","4.0805","4.0805","4.0805"
"1031","1030","1030","1030","4.0831","4.0831","4.0831"
"1039","1038","1038","1038","4.0501","4.0501","4.0501"
"1052","1051","1051","1051","4.0614","4.0614","4.0614"
"1065","1064","1064","1064","4.0409","4.0409","4.0409"
"1071","1070","1070","1070","4.0432","4.0432","4.0432"
"1091","1090","1090","1090","4.0101","4.0101","4.0101"
"1095","1094","1094","1094","4.0386","4.0386","4.0386"
"1097","1096","1096","1096","3.9985","3.9985","3.9985"
"1098","1097","1097","1097","4.0129","4.0129","4.0129"
"1103","1102","1102","1102","3.9924","3.9924","3.9924"
"1108","1107","1107","1107","3.959","3.959","3.959"
"1134","1133","1133","1133","3.9817","3.9817","3.9817"
"1136","1135","1135","1135","3.9863","3.9863","3.9863"
"1139","1138","1138","1138","3.981","3.981","3.981"
"1161","1160","1160","1160","3.9431","3.9431","3.9431"
"1177","1176","1176","1176","3.9089","3.9089","3.9089"
"1180","1179","1179","1179","3.9759","3.9759","3.9759"
"1193","1192","1192","1192","3.9293","3.9293","3.9293"
"1195","1194","1194","1194","3.9094","3.9094","3.9094"
"1204","1203","1203","1203","3.9256","3.9256","3.9256"
