"train/global_step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-untied-162m-zloss-lr6e4 - train/loss","MIN","MAX"
"8","7","7","7","10.9521","10.9521","10.9521"
"17","16","16","16","10.4253","10.4253","10.4253"
"19","18","18","18","10.3089","10.3089","10.3089"
"26","25","25","25","9.8963","9.8963","9.8963"
"28","27","27","27","9.8268","9.8268","9.8268"
"39","38","38","38","9.5329","9.5329","9.5329"
"55","54","54","54","9.1099","9.1099","9.1099"
"82","81","81","81","8.3174","8.3174","8.3174"
"84","83","83","83","8.255","8.255","8.255"
"89","88","88","88","8.1346","8.1346","8.1346"
"99","98","98","98","7.9126","7.9126","7.9126"
"110","109","109","109","7.7152","7.7152","7.7152"
"126","125","125","125","7.4705","7.4705","7.4705"
"128","127","127","127","7.4353","7.4353","7.4353"
"161","160","160","160","6.9877","6.9877","6.9877"
"176","175","175","175","6.791","6.791","6.791"
"185","184","184","184","6.7399","6.7399","6.7399"
"187","186","186","186","6.7165","6.7165","6.7165"
"199","198","198","198","6.5831","6.5831","6.5831"
"214","213","213","213","6.468","6.468","6.468"
"221","220","220","220","6.4101","6.4101","6.4101"
"225","224","224","224","6.386","6.386","6.386"
"229","228","228","228","6.3567","6.3567","6.3567"
"233","232","232","232","6.3364","6.3364","6.3364"
"244","243","243","243","6.2563","6.2563","6.2563"
"245","244","244","244","6.2414","6.2414","6.2414"
"246","245","245","245","6.2354","6.2354","6.2354"
"247","246","246","246","6.2297","6.2297","6.2297"
"260","259","259","259","6.1438","6.1438","6.1438"
"274","273","273","273","6.0653","6.0653","6.0653"
"298","297","297","297","5.9448","5.9448","5.9448"
"309","308","308","308","5.8914","5.8914","5.8914"
"316","315","315","315","5.9913","5.9913","5.9913"
"326","325","325","325","5.8585","5.8585","5.8585"
"327","326","326","326","5.8584","5.8584","5.8584"
"333","332","332","332","5.7827","5.7827","5.7827"
"334","333","333","333","5.7898","5.7898","5.7898"
"370","369","369","369","5.6199","5.6199","5.6199"
"377","376","376","376","5.5913","5.5913","5.5913"
"381","380","380","380","5.5691","5.5691","5.5691"
