"train/global_step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-lr-6e4 - _step","SmolLM-14m-Dolma-v0.1-Base-untied-162m-lr-6e4 - _step__MIN","SmolLM-14m-Dolma-v0.1-Base-untied-162m-lr-6e4 - _step__MAX","SmolLM-14m-Dolma-v0.1-Base-untied-162m-lr-6e4 - train/loss","MIN","MAX"
"1","0","0","0","10.9756","10.9756","10.9756"
"9","8","8","8","10.9143","10.9143","10.9143"
"18","17","17","17","10.3771","10.3771","10.3771"
"21","20","20","20","10.2118","10.2118","10.2118"
"44","43","43","43","9.4079","9.4079","9.4079"
"68","67","67","67","8.7165","8.7165","8.7165"
"81","80","80","80","8.3372","8.3372","8.3372"
"84","83","83","83","8.255","8.255","8.255"
"88","87","87","87","8.1575","8.1575","8.1575"
"90","89","89","89","8.1153","8.1153","8.1153"
"107","106","106","106","7.7682","7.7682","7.7682"
"111","110","110","110","7.6902","7.6902","7.6902"
"113","112","112","112","7.6384","7.6384","7.6384"
"118","117","117","117","7.5917","7.5917","7.5917"
"123","122","122","122","7.5118","7.5118","7.5118"
"125","124","124","124","7.4767","7.4767","7.4767"
"152","151","151","151","7.1021","7.1021","7.1021"
"153","152","152","152","7.0977","7.0977","7.0977"
"170","169","169","169","6.8778","6.8778","6.8778"
"180","179","179","179","6.7427","6.7427","6.7427"
"221","220","220","220","6.4246","6.4246","6.4246"
"228","227","227","227","6.3544","6.3544","6.3544"
"233","232","232","232","6.3182","6.3182","6.3182"
"241","240","240","240","6.2726","6.2726","6.2726"
"244","243","243","243","6.2459","6.2459","6.2459"
"253","252","252","252","6.1875","6.1875","6.1875"
"258","257","257","257","6.1507","6.1507","6.1507"
"266","265","265","265","6.1014","6.1014","6.1014"
"288","287","287","287","6.0325","6.0325","6.0325"
"304","303","303","303","5.9191","5.9191","5.9191"
"308","307","307","307","5.8786","5.8786","5.8786"
"315","314","314","314","5.903","5.903","5.903"
"317","316","316","316","5.8984","5.8984","5.8984"
"325","324","324","324","5.8189","5.8189","5.8189"
"330","329","329","329","5.7933","5.7933","5.7933"
"341","340","340","340","5.7363","5.7363","5.7363"
"347","346","346","346","5.6941","5.6941","5.6941"
"353","352","352","352","5.6926","5.6926","5.6926"
"363","362","362","362","5.6295","5.6295","5.6295"
"369","368","368","368","5.6207","5.6207","5.6207"
"380","379","379","379","5.6424","5.6424","5.6424"
"411","410","410","410","5.4782","5.4782","5.4782"
"435","434","434","434","5.3818","5.3818","5.3818"
"455","454","454","454","5.4282","5.4282","5.4282"
"462","461","461","461","5.3431","5.3431","5.3431"
"467","466","466","466","5.3019","5.3019","5.3019"
"468","467","467","467","5.2897","5.2897","5.2897"
"469","468","468","468","5.2851","5.2851","5.2851"
"510","509","509","509","5.1849","5.1849","5.1849"
"514","513","513","513","5.1581","5.1581","5.1581"
"522","521","521","521","5.1174","5.1174","5.1174"
"537","536","536","536","5.0569","5.0569","5.0569"
"542","541","541","541","5.0449","5.0449","5.0449"
"552","551","551","551","5.0155","5.0155","5.0155"
"569","568","568","568","5.0493","5.0493","5.0493"
"572","571","571","571","5.0327","5.0327","5.0327"
"577","576","576","576","5.0517","5.0517","5.0517"
"585","584","584","584","4.9687","4.9687","4.9687"
"590","589","589","589","4.9083","4.9083","4.9083"
"594","593","593","593","4.9012","4.9012","4.9012"
"596","595","595","595","4.8888","4.8888","4.8888"
"598","597","597","597","4.8666","4.8666","4.8666"
"608","607","607","607","4.8055","4.8055","4.8055"
"611","610","610","610","4.7829","4.7829","4.7829"
"639","638","638","638","4.7453","4.7453","4.7453"
"648","647","647","647","4.6957","4.6957","4.6957"
"658","657","657","657","4.6409","4.6409","4.6409"
"663","662","662","662","4.6213","4.6213","4.6213"
"668","667","667","667","4.6116","4.6116","4.6116"
"669","668","668","668","4.6244","4.6244","4.6244"
"672","671","671","671","4.5703","4.5703","4.5703"
"688","687","687","687","4.5844","4.5844","4.5844"
"694","693","693","693","4.589","4.589","4.589"
"696","695","695","695","4.6084","4.6084","4.6084"
"700","699","699","699","4.6031","4.6031","4.6031"
"705","704","704","704","4.5607","4.5607","4.5607"
"724","723","723","723","4.4526","4.4526","4.4526"
"729","728","728","728","4.4507","4.4507","4.4507"
"751","750","750","750","4.3976","4.3976","4.3976"
"757","756","756","756","4.3718","4.3718","4.3718"
"758","757","757","757","4.3696","4.3696","4.3696"
"780","779","779","779","4.3673","4.3673","4.3673"
"788","787","787","787","4.3493","4.3493","4.3493"
"799","798","798","798","4.3419","4.3419","4.3419"
"839","838","838","838","4.2556","4.2556","4.2556"
"840","839","839","839","4.2493","4.2493","4.2493"
"841","840","840","840","4.2372","4.2372","4.2372"
"848","847","847","847","4.2191","4.2191","4.2191"
"859","858","858","858","4.1812","4.1812","4.1812"
"862","861","861","861","4.1999","4.1999","4.1999"
"871","870","870","870","4.4268","4.4268","4.4268"
"872","871","871","871","4.4062","4.4062","4.4062"
"883","882","882","882","7.2301","7.2301","7.2301"
"903","902","902","902","6.3546","6.3546","6.3546"
"914","913","913","913","6.0259","6.0259","6.0259"
"918","917","917","917","5.8988","5.8988","5.8988"
"934","933","933","933","5.4979","5.4979","5.4979"
"935","934","934","934","5.5061","5.5061","5.5061"
"954","953","953","953","5.2755","5.2755","5.2755"
"955","954","954","954","5.2532","5.2532","5.2532"
"959","958","958","958","5.116","5.116","5.116"
"970","969","969","969","4.8981","4.8981","4.8981"
"977","976","976","976","4.8244","4.8244","4.8244"
"984","983","983","983","4.6959","4.6959","4.6959"
"992","991","991","991","4.6418","4.6418","4.6418"
"996","995","995","995","4.619","4.619","4.619"
"998","997","997","997","4.5919","4.5919","4.5919"
"1013","1012","1012","1012","4.5504","4.5504","4.5504"
"1014","1013","1013","1013","4.4919","4.4919","4.4919"
"1016","1015","1015","1015","4.5219","4.5219","4.5219"
"1020","1019","1019","1019","4.4731","4.4731","4.4731"
"1028","1027","1027","1027","4.5161","4.5161","4.5161"
"1034","1033","1033","1033","4.4457","4.4457","4.4457"
"1039","1038","1038","1038","4.4146","4.4146","4.4146"
"1049","1048","1048","1048","4.3329","4.3329","4.3329"
"1066","1065","1065","1065","4.3048","4.3048","4.3048"
"1068","1067","1067","1067","4.2922","4.2922","4.2922"
"1074","1073","1073","1073","4.2561","4.2561","4.2561"
"1080","1079","1079","1079","4.2408","4.2408","4.2408"
"1086","1085","1085","1085","4.2304","4.2304","4.2304"
"1101","1100","1100","1100","4.2193","4.2193","4.2193"
"1102","1101","1101","1101","4.2231","4.2231","4.2231"
"1112","1111","1111","1111","4.2047","4.2047","4.2047"
"1116","1115","1115","1115","4.203","4.203","4.203"
"1118","1117","1117","1117","4.2024","4.2024","4.2024"
"1147","1146","1146","1146","4.1302","4.1302","4.1302"
"1153","1152","1152","1152","4.1707","4.1707","4.1707"
"1155","1154","1154","1154","4.129","4.129","4.129"
"1156","1155","1155","1155","4.1317","4.1317","4.1317"
"1161","1160","1160","1160","4.1094","4.1094","4.1094"
"1172","1171","1171","1171","4.0952","4.0952","4.0952"
"1191","1190","1190","1190","4.0653","4.0653","4.0653"
"1198","1197","1197","1197","4.122","4.122","4.122"
"1217","1216","1216","1216","4.065","4.065","4.065"
"1219","1218","1218","1218","4.0619","4.0619","4.0619"
"1223","1222","1222","1222","4.0494","4.0494","4.0494"
"1229","1228","1228","1228","4.0441","4.0441","4.0441"
"1234","1233","1233","1233","4.0532","4.0532","4.0532"
"1242","1241","1241","1241","4.0386","4.0386","4.0386"
"1262","1261","1261","1261","4.0378","4.0378","4.0378"
"1276","1275","1275","1275","3.9939","3.9939","3.9939"
"1297","1296","1296","1296","3.9939","3.9939","3.9939"
"1302","1301","1301","1301","4.0312","4.0312","4.0312"
"1333","1332","1332","1332","3.9652","3.9652","3.9652"
"1335","1334","1334","1334","3.9716","3.9716","3.9716"
"1348","1347","1347","1347","3.9507","3.9507","3.9507"
"1364","1363","1363","1363","3.9534","3.9534","3.9534"
"1366","1365","1365","1365","3.9328","3.9328","3.9328"
"1377","1376","1376","1376","3.9471","3.9471","3.9471"
"1380","1379","1379","1379","3.9429","3.9429","3.9429"
"1382","1381","1381","1381","3.9407","3.9407","3.9407"
"1406","1405","1405","1405","3.9288","3.9288","3.9288"
"1420","1419","1419","1419","3.9385","3.9385","3.9385"
"1422","1421","1421","1421","3.9134","3.9134","3.9134"
"1452","1451","1451","1451","3.8881","3.8881","3.8881"
"1463","1462","1462","1462","3.8865","3.8865","3.8865"
"1478","1477","1477","1477","3.8741","3.8741","3.8741"
"1485","1484","1484","1484","3.8785","3.8785","3.8785"
"1486","1485","1485","1485","3.8763","3.8763","3.8763"
"1493","1492","1492","1492","3.8789","3.8789","3.8789"
"1495","1494","1494","1494","3.8723","3.8723","3.8723"
"1498","1497","1497","1497","3.8767","3.8767","3.8767"
"1503","1502","1502","1502","3.8748","3.8748","3.8748"
"1514","1513","1513","1513","3.8599","3.8599","3.8599"
"1517","1516","1516","1516","3.8105","3.8105","3.8105"
"1520","1519","1519","1519","3.8346","3.8346","3.8346"
"1527","1526","1526","1526","3.8302","3.8302","3.8302"
"1528","1527","1527","1527","3.8512","3.8512","3.8512"
"1530","1529","1529","1529","3.8556","3.8556","3.8556"
"1539","1538","1538","1538","3.8564","3.8564","3.8564"
"1548","1547","1547","1547","3.8299","3.8299","3.8299"
"1590","1589","1589","1589","3.8383","3.8383","3.8383"
"1592","1591","1591","1591","3.8399","3.8399","3.8399"
"1594","1593","1593","1593","3.8269","3.8269","3.8269"
"1596","1595","1595","1595","3.8524","3.8524","3.8524"
"1610","1609","1609","1609","3.7859","3.7859","3.7859"
"1621","1620","1620","1620","3.8002","3.8002","3.8002"
"1627","1626","1626","1626","3.8046","3.8046","3.8046"
"1641","1640","1640","1640","3.7849","3.7849","3.7849"
"1644","1643","1643","1643","3.8258","3.8258","3.8258"
