token_id,frequency
0,890708
2,549306515
3,540107669
4,146643568
5,167037325
6,188764089
7,89479536
8,260163237
9,848211727
10,1227150098
11,155351544
12,85153740
13,13721251377
14,3613754247
15,15936997733
16,879221942
17,394922207
18,546123865
19,460530138
20,272299571
21,202551713
22,199414690
23,126584710
24,117599135
25,130025365
26,99979167
27,1644378857
28,772117374
29,275818672
30,155806061
31,379415275
32,715295096
33,68366792
34,289507322
35,168059893
36,191415318
37,170948225
38,104830213
39,139480648
40,117037719
41,108880247
42,490250031
43,71640968
44,101601380
45,118882645
46,144515459
47,105150070
48,80825550
49,138780927
50,58618776
51,115140847
52,216876778
53,144136233
54,63368103
55,93821908
56,92552051
57,81307294
58,70939116
59,53116998
60,186082359
61,305303808
62,183114897
63,42892749
64,1566524165
65,62057347
66,359814144
67,172299556
68,186346115
69,207922565
70,183364310
71,166601654
72,126319139
73,153897819
74,278475447
75,90273056
76,142956412
77,113915005
78,276294460
79,177053035
80,191839321
81,179172164
82,47668484
83,121496130
84,1594882041
85,591019623
86,116624150
87,115941074
88,97060386
89,283755093
90,231467002
91,98056145
92,356507974
93,71853323
94,466843212
95,15268475
96,7446982
97,6904249
98,6018224
99,14052893
100,9740243
101,9235601
102,7399018
103,9967035
104,10067546
105,6919139
106,5179814
107,9632023
108,7165055
109,7874617
110,13308797
111,7156477
112,9550549
113,7319166
114,9027721
115,8256616
116,7561363
117,7508573
118,13336281
119,8376732
120,7214286
121,7907400
122,9088395
123,7160474
124,7736265
125,7696460
127,3203545
128,1465360
129,2264530
130,732920
131,849922
132,200667
133,1694553
134,1576790
135,2664209
136,3022012
137,1029901
138,3164370
139,1271985
140,5096212
141,1852742
142,1652020
143,186248
144,353975
145,547709
146,3408155
147,1048864
148,398490
149,1891770
150,422462
151,699014
152,137593
153,30687
154,68534
155,213427
156,2327531
157,2816407
158,6982421
159,312074
160,37571
161,1784049
162,2806231
163,3400638
164,3218488
165,3643511
166,1667755
167,8562445
168,7346866
169,6152385
170,986877
171,4374544
172,3261404
175,32972
176,27460
177,2396201
178,279309
179,260621
180,333551
181,111747
182,162249
183,181833
184,229147
185,610300
186,546394853
187,10210031535
189,104631
190,103042885
191,40256
192,50984
193,67167
194,47390
195,42547
196,48933
197,84606
198,41322
199,38245
200,35657
201,49678
202,72426
203,44000
204,104020
205,28264
206,35459
207,31891
208,36763
209,145929151
210,281019
211,14198913
212,13339366
213,13427006
214,9461195
215,14615414
216,11768839
217,11332702
218,8740423
219,15174743
220,6725121
221,8581088
222,7797316
223,10831800
224,9237570
225,6464619
226,10456926
227,13792666
228,12505427
229,9107942
230,10708961
231,10198842
232,9763221
233,5451050
234,7992119
235,14108318
236,10336379
237,11387141
238,8836006
239,14866496
240,11468742
241,8531006
242,8771320
243,8844384
244,8295163
246,92877254
247,5881494409
248,37904369
249,221759009
250,206839738
251,155541552
253,13112206065
254,175307997
255,93764507
256,88308984
257,127116508
258,39668456
259,60853472
260,82176008
261,141787805
262,94723713
263,138860978
264,243139486
265,152062032
266,128452417
267,134030201
268,117169392
269,81020096
270,96253989
271,953122879
272,382036259
273,7022990174
274,101048062
275,4575817719
276,31458881
277,86789620
278,101888287
279,42495307
280,97629118
281,7544288114
282,86264567
283,42223454
284,121705598
285,7561785957
287,52077413
288,60200932
289,17931194
290,47759263
291,13201707
292,70923180
293,90793764
294,89461681
295,77655527
296,80764320
297,46666516
298,71632892
299,94631699
300,63304051
301,129902521
302,48512865
303,51659744
304,41658032
305,72021720
306,126881916
307,37116002
308,209754298
309,2213839416
310,3417710625
311,57505805
312,90866015
313,1528532739
314,128944697
315,1644166
316,88122111
317,55740563
318,73101722
319,27184167
320,1583249427
321,55137020
322,227062153
323,2785544281
324,60384207
325,4765819
326,2787358034
327,1992164650
328,55118000
329,354527752
330,211198464
331,38178409
332,25517195
333,45814529
334,13817655
335,41740391
336,27091092
337,344111061
338,153480661
339,34500870
340,48554558
342,2102429385
343,43233175
344,570567552
345,18802653
346,566734721
347,1572253472
348,63043867
350,40234235
351,33229043
352,1982022351
353,191542657
354,24753523
355,63579015
356,48996578
357,54392801
358,51972831
359,802116251
360,53393816
361,85204251
362,67788742
363,30125077
364,10069809
365,24964582
366,85068910
367,200538833
368,2156690592
369,1333067860
370,334492609
371,20722359
372,88401735
373,38758961
374,286566208
375,89931457
376,49769337
377,17802875
378,218412295
379,28637018
380,1091397279
381,5265691
382,83978484
383,67008299
384,11848556
385,22906581
386,70256930
387,1158126788
388,145687492
389,20900908
390,1145250698
391,61644428
392,10515838
393,183628208
394,139959635
395,120076267
396,23824186
397,827279
398,182710341
399,193338788
400,24061851
401,163780121
402,8489921
403,1601278343
404,27112423
405,22759933
406,34384683
407,1072643878
408,30024858
409,12338097
410,31908210
411,116050668
412,43228132
413,26791100
414,53800926
415,6362980
416,168691952
417,1022828035
418,168512507
419,19609738
420,36346460
421,2988800
422,49779097
423,93568792
424,27469353
425,11550470
426,546421778
427,140380943
428,371773896
429,16126159
430,15156508
431,22915639
432,1142385720
433,29888033
434,786828952
435,25013323
436,1256002277
437,38472428
438,23045945
439,34328586
440,95897270
441,221521762
442,34181140
443,165281874
444,125833700
445,23211075
446,21842227
447,89647381
448,39407863
449,118267401
450,1471818
451,30891482
452,1266437408
453,18096294
454,25706605
455,40025311
456,57253564
457,2033574005
458,26731245
459,37323088
460,60834051
461,15689680
462,29416903
463,30089307
464,33602394
465,66837852
466,89225048
468,33751993
469,17626400
470,294426687
471,21383499
472,39881326
473,97910437
474,32084270
475,154484249
476,1050594306
478,25101935
479,365121847
480,54364282
481,363217891
482,18745273
483,62137548
484,76687141
485,15305165
486,56284449
487,31859758
488,1822705
489,25387557
490,18786387
491,21578722
492,16581169
493,14418992
494,109096510
495,221404014
496,308063215
497,469538962
498,23354179
499,20704015
500,116611337
501,18352611
502,24460050
503,9466813
504,34479145
505,30104911
506,19032725
507,41624863
508,2482743
509,9130832
510,635388783
511,19019958
512,712800192
513,462861456
514,14714995
515,25079110
516,14128248
517,6941106
518,51238644
519,27224399
520,37961536
521,536274480
522,50909112
523,4361664
524,310710
525,10225094
526,7263133
527,21065446
528,34192097
529,3436531
530,109573398
531,48786646
532,37352165
533,787473602
534,578575442
535,286342602
536,25757555
537,63679955
538,31122108
539,8828148
540,35347777
541,3912153
543,24380792
544,183071182
545,20668709
546,30362861
547,26539048
548,1761044
