Checkpoint,Global Mean Bias,Per-token Mean Bias,Token Embedding Variability,Mean of RMS,Std of RMS
checkpoint-1000,0.42487633228302,0.0063016293570399284,0.10540461540222168,0.1052880510687828,0.021219616755843163
checkpoint-2000,0.28737279772758484,0.007866629399359226,0.12431757897138596,0.12421777844429016,0.021857092157006264
checkpoint-3000,0.2819923162460327,0.00831877626478672,0.13140630722045898,0.1313021034002304,0.022950466722249985
checkpoint-4000,0.3421563506126404,0.008579115383327007,0.13679954409599304,0.1366855651140213,0.023921655490994453
checkpoint-5000,0.38268694281578064,0.008817444555461407,0.1409253031015396,0.14080877602100372,0.02448257803916931
checkpoint-6000,0.4003360867500305,0.008847012184560299,0.14412984251976013,0.14399424195289612,0.024919306859374046
checkpoint-7000,0.4038904011249542,0.008838091045618057,0.1468575894832611,0.14670312404632568,0.02535497583448887
checkpoint-8000,0.3996771574020386,0.008853218518197536,0.14895716309547424,0.14879006147384644,0.02561517246067524
checkpoint-9000,0.39331167936325073,0.00886182114481926,0.1504543274641037,0.1502787321805954,0.025738302618265152
checkpoint-10000,0.38021332025527954,0.0089242123067379,0.151352196931839,0.15117685496807098,0.02580065280199051
checkpoint-11000,0.3604881465435028,0.009034426882863045,0.15180212259292603,0.15163393318653107,0.025735313072800636
checkpoint-12000,0.34250983595848083,0.009151667356491089,0.15168720483779907,0.15153060853481293,0.02554563246667385
checkpoint-13000,0.3338310718536377,0.009324823506176472,0.15150108933448792,0.15136222541332245,0.025290893390774727
checkpoint-14000,0.33178749680519104,0.009542813524603844,0.1514604389667511,0.15134255588054657,0.025102756917476654
checkpoint-15000,0.3301351070404053,0.009734470397233963,0.15167397260665894,0.15157347917556763,0.024951692670583725
checkpoint-16000,0.3279307186603546,0.009868348017334938,0.15239088237285614,0.15229837596416473,0.024973951280117035
checkpoint-17000,0.32014885544776917,0.009908920153975487,0.15287984907627106,0.1527884602546692,0.024987220764160156
checkpoint-18000,0.30873778462409973,0.009934469126164913,0.1534031331539154,0.1533120572566986,0.02488676831126213
checkpoint-19000,0.3005490303039551,0.009936636313796043,0.15394216775894165,0.153847336769104,0.024841895326972008
checkpoint-20000,0.2999234199523926,0.00991582591086626,0.15448790788650513,0.15438739955425262,0.024763397872447968
checkpoint-21000,0.30158334970474243,0.00989244133234024,0.15497104823589325,0.15486446022987366,0.024825947359204292
checkpoint-22000,0.3038485646247864,0.009879915043711662,0.1552688181400299,0.15515971183776855,0.024880625307559967
checkpoint-23000,0.30638477206230164,0.009988048113882542,0.15581244230270386,0.15571068227291107,0.02495034597814083
checkpoint-24000,0.30808335542678833,0.010142162442207336,0.15634433925151825,0.15625587105751038,0.02500329725444317
checkpoint-25000,0.3095385432243347,0.010358033701777458,0.15674878656864166,0.15668098628520966,0.025025025010108948
checkpoint-26000,0.31153085827827454,0.010641143657267094,0.15726223587989807,0.15722031891345978,0.02510952204465866
checkpoint-27000,0.31222978234291077,0.010886353440582752,0.15772269666194916,0.15770438313484192,0.02524915523827076
checkpoint-28000,0.3127018213272095,0.01102843601256609,0.1578013151884079,0.1577984243631363,0.02530517801642418
checkpoint-29000,0.312185674905777,0.01109878160059452,0.1580274999141693,0.15803155303001404,0.025385402143001556
checkpoint-30000,0.3106190264225006,0.01113162562251091,0.15826375782489777,0.15826936066150665,0.02540779486298561
checkpoint-31000,0.30838772654533386,0.011175333522260189,0.15864937007427216,0.15865539014339447,0.025425897911190987
checkpoint-32000,0.30605369806289673,0.011155561544001102,0.15863651037216187,0.15863864123821259,0.025432854890823364
checkpoint-33000,0.30422383546829224,0.011162634938955307,0.15899191796779633,0.1589902639389038,0.025480112060904503
checkpoint-34000,0.30181077122688293,0.011156379245221615,0.1591947227716446,0.1591876894235611,0.02554609254002571
checkpoint-35000,0.3012572228908539,0.011140285059809685,0.15917356312274933,0.15916351974010468,0.025513630360364914
checkpoint-36000,0.3014882206916809,0.011164864525198936,0.1593579202890396,0.1593470275402069,0.025484686717391014
checkpoint-37000,0.29957088828086853,0.011259721592068672,0.15962283313274384,0.15961749851703644,0.02555776759982109
checkpoint-38000,0.2940942943096161,0.011345702223479748,0.1593816578388214,0.1593860387802124,0.0255928672850132
checkpoint-39000,0.2840777039527893,0.011407597921788692,0.15901227295398712,0.15902602672576904,0.02557431161403656
checkpoint-40000,0.2727893590927124,0.011411657556891441,0.15901662409305573,0.15903083980083466,0.025548778474330902
checkpoint-41000,0.264348566532135,0.011336141265928745,0.15908282995224,0.1590893268585205,0.025527391582727432
checkpoint-42000,0.2604518234729767,0.01127269584685564,0.15889129042625427,0.15889234840869904,0.025467274710536003
checkpoint-43000,0.2575780749320984,0.011290556751191616,0.15895973145961761,0.15896236896514893,0.025403935462236404
checkpoint-44000,0.2524471580982208,0.011395471170544624,0.15893162786960602,0.15894490480422974,0.02538103051483631
checkpoint-45000,0.2503696382045746,0.011497230269014835,0.159035325050354,0.15905775129795074,0.0253800880163908
checkpoint-46000,0.250335693359375,0.011611083522439003,0.1589588075876236,0.15899373590946198,0.025331737473607063
checkpoint-47000,0.25160926580429077,0.011767104268074036,0.15933731198310852,0.15938465297222137,0.025370370596647263
checkpoint-48000,0.2507433593273163,0.011985662393271923,0.15985901653766632,0.15992623567581177,0.025432394817471504
checkpoint-49000,0.2480054646730423,0.012302705086767673,0.16022421419620514,0.16032269597053528,0.025608433410525322
checkpoint-50000,0.24330204725265503,0.0126347616314888,0.1605108082294464,0.1606425642967224,0.025736307725310326
checkpoint-51000,0.2385314255952835,0.012866811826825142,0.16027699410915375,0.16043558716773987,0.025772616267204285
checkpoint-52000,0.2372191995382309,0.013042285107076168,0.1605725884437561,0.16074824333190918,0.025831904262304306
checkpoint-53000,0.23503613471984863,0.013140643015503883,0.1604246348142624,0.16061238944530487,0.025823544710874557
checkpoint-54000,0.2307266741991043,0.013183730654418468,0.16035018861293793,0.16054385900497437,0.02579224668443203
checkpoint-55000,0.23068496584892273,0.013223224319517612,0.16009265184402466,0.16029199957847595,0.02580646611750126
checkpoint-56000,0.23686830699443817,0.013254179619252682,0.15996798872947693,0.16017156839370728,0.025797316804528236
checkpoint-57000,0.2407914400100708,0.013319455087184906,0.1604316234588623,0.16064006090164185,0.025822825729846954
checkpoint-58000,0.2415701448917389,0.01330321654677391,0.16065292060375214,0.1608581393957138,0.025879109278321266
checkpoint-59000,0.24076026678085327,0.013141491450369358,0.16162632405757904,0.1618083119392395,0.02597787417471409
checkpoint-60000,0.2387648969888687,0.012896678410470486,0.16173556447029114,0.16188956797122955,0.026091767475008965
checkpoint-61000,0.23686018586158752,0.012623738497495651,0.1620219349861145,0.16214363276958466,0.02620449848473072
checkpoint-62000,0.23609091341495514,0.012433391995728016,0.161825492978096,0.16192860901355743,0.026245977729558945
checkpoint-63000,0.23555225133895874,0.012265194207429886,0.1618288904428482,0.1619148701429367,0.026259437203407288
checkpoint-64000,0.23677292466163635,0.01208505779504776,0.1618591994047165,0.16192597150802612,0.026174087077379227
checkpoint-65000,0.24091152846813202,0.011835915967822075,0.16169388592243195,0.1617358922958374,0.026091625913977623
checkpoint-66000,0.24504397809505463,0.011596531607210636,0.1614009439945221,0.16142143309116364,0.025959279388189316
checkpoint-67000,0.2449663281440735,0.011388230137526989,0.16119562089443207,0.16119720041751862,0.025806661695241928
checkpoint-68000,0.2338794320821762,0.011456085368990898,0.16490423679351807,0.16488632559776306,0.02611854113638401
checkpoint-69000,0.22512218356132507,0.011197610758244991,0.16370296478271484,0.16366900503635406,0.026214241981506348
checkpoint-70000,0.2231496423482895,0.011039204895496368,0.16281087696552277,0.16276815533638,0.02615617774426937
