Checkpoint,Global Mean Bias,Per-token Mean Bias,Token Embedding Variability,Mean of RMS,Std of RMS
checkpoint-1000,0.4242880344390869,0.009451717138290405,0.10804446041584015,0.10823150724172592,0.02565990760922432
checkpoint-2000,0.2583584487438202,0.00954646710306406,0.1281701624393463,0.12822265923023224,0.02448670007288456
checkpoint-3000,0.28590840101242065,0.009642605669796467,0.1358741819858551,0.1358829289674759,0.02459723688662052
checkpoint-4000,0.4011652171611786,0.010961607098579407,0.14332905411720276,0.14343179762363434,0.024958517402410507
checkpoint-5000,0.49214303493499756,0.012346484698355198,0.15030640363693237,0.15051431953907013,0.02571156807243824
checkpoint-6000,0.5371521711349487,0.012577744200825691,0.15628647804260254,0.1564694195985794,0.026723189279437065
checkpoint-7000,0.5467269420623779,0.012079657055437565,0.16086064279079437,0.16094642877578735,0.027638200670480728
checkpoint-8000,0.5406830310821533,0.011443223804235458,0.16411691904067993,0.16410699486732483,0.028284871950745583
checkpoint-9000,0.5299782156944275,0.011086433194577694,0.16638849675655365,0.16632185876369476,0.028786810114979744
checkpoint-10000,0.5258780717849731,0.010899233631789684,0.16804011166095734,0.16793979704380035,0.029117122292518616
checkpoint-11000,0.5264794826507568,0.010802353732287884,0.16921690106391907,0.16909722983837128,0.029323866590857506
checkpoint-12000,0.534213125705719,0.010699307546019554,0.17031149566173553,0.1701735109090805,0.0294578205794096
checkpoint-13000,0.5457051992416382,0.010687158443033695,0.17122690379619598,0.17108093202114105,0.02958950586616993
checkpoint-14000,0.5565956234931946,0.010692514479160309,0.1716749519109726,0.17152656614780426,0.029609819874167442
checkpoint-15000,0.5647276639938354,0.010825347155332565,0.1716744750738144,0.17153938114643097,0.029569346457719803
checkpoint-16000,0.5699460506439209,0.011120390146970749,0.17128805816173553,0.17118382453918457,0.02959524095058441
checkpoint-17000,0.5727362632751465,0.011553880758583546,0.17094482481479645,0.17088359594345093,0.029657315462827682
checkpoint-18000,0.5834752321243286,0.011964431963860989,0.17061349749565125,0.17058996856212616,0.029420094564557076
checkpoint-19000,0.5995598435401917,0.012207146733999252,0.1702297031879425,0.17023026943206787,0.029121829196810722
checkpoint-20000,0.6142479181289673,0.012424391694366932,0.17018873989582062,0.17021377384662628,0.028897715732455254
checkpoint-21000,0.6196471452713013,0.012589158490300179,0.17005348205566406,0.17010098695755005,0.02878585271537304
checkpoint-22000,0.6170023679733276,0.012872950173914433,0.1699674278497696,0.17004889249801636,0.028853248804807663
checkpoint-23000,0.6051410436630249,0.013102355413138866,0.16979669034481049,0.16990259289741516,0.029140742495656013
checkpoint-24000,0.5892333984375,0.013162666000425816,0.16954690217971802,0.16965819895267487,0.029464520514011383
checkpoint-25000,0.5757425427436829,0.013053994625806808,0.1695730835199356,0.16966968774795532,0.029684199020266533
checkpoint-26000,0.565339207649231,0.012735703960061073,0.16961219906806946,0.1696721613407135,0.029878057539463043
checkpoint-27000,0.5609086751937866,0.012269440107047558,0.17008894681930542,0.17009679973125458,0.03005644492805004
checkpoint-28000,0.5628864765167236,0.011779684573411942,0.1705872118473053,0.17054210603237152,0.030178774148225784
checkpoint-29000,0.5713950395584106,0.011379864066839218,0.17100156843662262,0.17091993987560272,0.030197549611330032
checkpoint-30000,0.5785882472991943,0.011182825081050396,0.17095476388931274,0.17086438834667206,0.030107857659459114
checkpoint-31000,0.5837974548339844,0.011334727518260479,0.17190386354923248,0.1718314290046692,0.030172420665621758
checkpoint-32000,0.5783994197845459,0.011848220601677895,0.17215663194656372,0.1721339374780655,0.030277101323008537
checkpoint-33000,0.5611120462417603,0.01288601104170084,0.17169274389743805,0.17177310585975647,0.030289556831121445
checkpoint-34000,0.5400312542915344,0.014235180802643299,0.1711958795785904,0.17142254114151,0.030233217403292656
