Checkpoint,Global Mean Bias,Per-token Mean Bias,Token Embedding Variability,Mean of RMS,Std of RMS
checkpoint-1000,0.33251795172691345,0.007548438385128975,0.10718956589698792,0.10718308389186859,0.022305814549326897
checkpoint-2000,0.2527705430984497,0.009907535277307034,0.14050379395484924,0.14049597084522247,0.022775569930672646
checkpoint-3000,0.6594782471656799,0.011182621121406555,0.16518938541412354,0.1651272475719452,0.0243822168558836
checkpoint-4000,1.0077359676361084,0.01241713110357523,0.18760883808135986,0.18750248849391937,0.02604912966489792
checkpoint-5000,1.2706023454666138,0.014614522457122803,0.2053069770336151,0.2052905261516571,0.027555720880627632
checkpoint-6000,1.438751459121704,0.01722831465303898,0.21687161922454834,0.2170490324497223,0.02932659350335598
checkpoint-7000,1.443916916847229,0.01766556315124035,0.22121837735176086,0.2214146852493286,0.030710089951753616
checkpoint-8000,1.2617948055267334,0.016438724473118782,0.2165709137916565,0.21668729186058044,0.031007632613182068
checkpoint-9000,1.0527890920639038,0.014951188117265701,0.20921480655670166,0.20923903584480286,0.03043859824538231
checkpoint-10000,1.0214860439300537,0.014099949039518833,0.20734725892543793,0.2072974145412445,0.02966487966477871
checkpoint-11000,1.1440593004226685,0.0134042426943779,0.21164943277835846,0.21150004863739014,0.02915089949965477
checkpoint-12000,1.2969287633895874,0.012966942973434925,0.21792100369930267,0.21768546104431152,0.029060332104563713
checkpoint-13000,1.421090006828308,0.012654566206037998,0.223455011844635,0.22315458953380585,0.02906995452940464
checkpoint-14000,1.5113383531570435,0.012408369220793247,0.2277805656194687,0.22743025422096252,0.029144905507564545
checkpoint-15000,1.5555241107940674,0.012299567461013794,0.23018990457057953,0.22981683909893036,0.029389763250947
checkpoint-16000,1.5790091753005981,0.012216895818710327,0.23163697123527527,0.23125028610229492,0.029561921954154968
checkpoint-17000,1.6228126287460327,0.011982737109065056,0.23414355516433716,0.23372367024421692,0.029484642669558525
checkpoint-18000,1.5791419744491577,0.011915621347725391,0.232992485165596,0.23257121443748474,0.02954874187707901
checkpoint-19000,1.4235373735427856,0.01209406740963459,0.226785346865654,0.22641347348690033,0.030477825552225113
checkpoint-20000,1.1923389434814453,0.012276023626327515,0.21729743480682373,0.2170000970363617,0.030948292464017868
checkpoint-21000,1.077643632888794,0.012300504371523857,0.21244153380393982,0.21217747032642365,0.030466357246041298
checkpoint-22000,1.1405245065689087,0.012118631042540073,0.2139565348625183,0.21367156505584717,0.02953278459608555
checkpoint-23000,1.2621151208877563,0.012038211338222027,0.21782200038433075,0.21751092374324799,0.028970351442694664
checkpoint-24000,1.3747303485870361,0.011758960783481598,0.22196480631828308,0.22160089015960693,0.028763126581907272
checkpoint-25000,1.4556176662445068,0.011768762953579426,0.22557319700717926,0.22518140077590942,0.02878274768590927
checkpoint-26000,1.5035885572433472,0.012220566160976887,0.22818389534950256,0.22780662775039673,0.028898246586322784
checkpoint-27000,1.5625886917114258,0.012125215493142605,0.23159688711166382,0.23119103908538818,0.029104186221957207
checkpoint-28000,1.563299298286438,0.011576375924050808,0.2331317514181137,0.23267890512943268,0.029261408373713493
checkpoint-29000,1.4185131788253784,0.011698718182742596,0.22831307351589203,0.22790130972862244,0.03037990629673004
checkpoint-30000,1.1863919496536255,0.012028017081320286,0.21917682886123657,0.2188517302274704,0.031113162636756897
checkpoint-31000,1.0514018535614014,0.012249371968209743,0.21311794221401215,0.212854266166687,0.03081275150179863
checkpoint-32000,1.1057084798812866,0.011947767809033394,0.21355243027210236,0.21325600147247314,0.02994571253657341
checkpoint-33000,1.2221773862838745,0.011583065614104271,0.21709881722927094,0.2167440801858902,0.029687387868762016
checkpoint-34000,1.3207266330718994,0.011581472121179104,0.22067052125930786,0.22028997540473938,0.029658155515789986
checkpoint-35000,1.410219430923462,0.011541354469954967,0.224359393119812,0.2239517718553543,0.029442965984344482
checkpoint-36000,1.503237247467041,0.01142807025462389,0.22846004366874695,0.2280212640762329,0.0291923638433218
checkpoint-37000,1.5987282991409302,0.011818348430097103,0.2331055849790573,0.2326732724905014,0.0292645450681448
checkpoint-38000,1.595005989074707,0.012736648321151733,0.23350213468074799,0.23314371705055237,0.029197972267866135
checkpoint-39000,1.4517852067947388,0.013121388852596283,0.22780495882034302,0.22751571238040924,0.029812369495630264
checkpoint-40000,1.223365068435669,0.012556498870253563,0.21876592934131622,0.21848702430725098,0.03033146634697914
checkpoint-41000,1.0676435232162476,0.011825745925307274,0.2121688425540924,0.21186625957489014,0.029825484380126
checkpoint-42000,1.1142973899841309,0.011661379598081112,0.21267901360988617,0.21235491335391998,0.029107552021741867
checkpoint-43000,1.2284986972808838,0.012381652370095253,0.21628715097904205,0.21599768102169037,0.028763344511389732
checkpoint-44000,1.3230009078979492,0.012883896008133888,0.22016234695911407,0.21989032626152039,0.028670838102698326
checkpoint-45000,1.4201165437698364,0.01259691547602415,0.2243642508983612,0.2240413874387741,0.028703516349196434
checkpoint-46000,1.5066328048706055,0.011898944154381752,0.22833426296710968,0.22793135046958923,0.02888375148177147
checkpoint-47000,1.5743309259414673,0.011524406261742115,0.23227065801620483,0.23181527853012085,0.028996648266911507
checkpoint-48000,1.5345520973205566,0.012999175116419792,0.2317063957452774,0.23137450218200684,0.029150599613785744
checkpoint-49000,1.3888212442398071,0.016108103096485138,0.22640055418014526,0.2263903021812439,0.030114267021417618
checkpoint-50000,1.1825978755950928,0.01699695736169815,0.2178693413734436,0.21802158653736115,0.030776917934417725
checkpoint-51000,1.1070700883865356,0.016473952680826187,0.21410545706748962,0.21424102783203125,0.030521683394908905
checkpoint-52000,1.1826132535934448,0.015609698370099068,0.21624904870986938,0.21628062427043915,0.030106324702501297
checkpoint-53000,1.290395975112915,0.013848066329956055,0.22013705968856812,0.21996617317199707,0.029777351766824722
checkpoint-54000,1.3968791961669922,0.012899952940642834,0.22448642551898956,0.224192276597023,0.029576903209090233
checkpoint-55000,1.4941084384918213,0.01476668193936348,0.2284708023071289,0.22832244634628296,0.029681000858545303
checkpoint-56000,1.5910989046096802,0.018089525401592255,0.23270133137702942,0.2328626811504364,0.029961582273244858
checkpoint-57000,1.6250399351119995,0.021209420636296272,0.23456549644470215,0.23505514860153198,0.029680151492357254
checkpoint-58000,1.5345407724380493,0.021406857296824455,0.23164305090904236,0.23220406472682953,0.029943207278847694
checkpoint-59000,1.3225988149642944,0.018017645925283432,0.22362744808197021,0.22388745844364166,0.030546285212039948
checkpoint-60000,1.1422359943389893,0.01496108341962099,0.2161036878824234,0.21606607735157013,0.029778145253658295
checkpoint-61000,1.1285698413848877,0.016043635085225105,0.21466323733329773,0.21473091840744019,0.028968552127480507
checkpoint-62000,1.1873929500579834,0.017215704545378685,0.2165408879518509,0.2167167216539383,0.028592845425009727
checkpoint-63000,1.2753536701202393,0.016250992193818092,0.22046411037445068,0.22051531076431274,0.02830997295677662
checkpoint-64000,1.3760619163513184,0.015090330503880978,0.22494615614414215,0.2248508483171463,0.028234433382749557
checkpoint-65000,1.467717170715332,0.01398548949509859,0.22906559705734253,0.22883976995944977,0.028446722775697708
checkpoint-66000,1.5402133464813232,0.012820388190448284,0.23233595490455627,0.23198610544204712,0.02890344336628914
checkpoint-67000,1.5245778560638428,0.015150045044720173,0.23179854452610016,0.23165348172187805,0.02895967848598957
checkpoint-68000,1.3941242694854736,0.019646072760224342,0.22616153955459595,0.2265065312385559,0.030227243900299072
checkpoint-69000,1.1827473640441895,0.02035893127322197,0.21737982332706451,0.21789981424808502,0.031411293894052505
checkpoint-70000,1.0764214992523193,0.017548739910125732,0.2125047743320465,0.21275928616523743,0.030961250886321068
checkpoint-71000,1.131900668144226,0.013697583228349686,0.21402905881404877,0.21388176083564758,0.030242780223488808
checkpoint-72000,1.2311203479766846,0.013428053818643093,0.21724362671375275,0.21704205870628357,0.02967039868235588
checkpoint-73000,1.3267179727554321,0.01954782009124756,0.22036992013454437,0.2207426279783249,0.029432572424411774
checkpoint-74000,1.4083235263824463,0.02591395378112793,0.22309182584285736,0.22417640686035156,0.029443321749567986
checkpoint-75000,1.500372052192688,0.02961902692914009,0.2268143743276596,0.22833199799060822,0.029802456498146057
checkpoint-76000,1.5404572486877441,0.028066396713256836,0.22970540821552277,0.23097704350948334,0.02997729368507862
checkpoint-77000,1.4629390239715576,0.019987553358078003,0.22868649661540985,0.22904424369335175,0.030432142317295074
checkpoint-78000,1.292681097984314,0.013332029804587364,0.2226354330778122,0.22240103781223297,0.03107227012515068
checkpoint-79000,1.130340576171875,0.015145504847168922,0.2158447802066803,0.21582280099391937,0.030794180929660797
checkpoint-80000,1.1176464557647705,0.019700726494193077,0.21429502964019775,0.21476878225803375,0.029981842264533043
checkpoint-81000,1.1622042655944824,0.02042480558156967,0.21579304337501526,0.21634627878665924,0.029627487063407898
checkpoint-82000,1.2115269899368286,0.01783759705722332,0.21795548498630524,0.21819762885570526,0.029565121978521347
checkpoint-83000,1.2772105932235718,0.015919629484415054,0.2205285131931305,0.2205391228199005,0.029345916584134102
checkpoint-84000,1.3598054647445679,0.015359370969235897,0.2237381637096405,0.22368045151233673,0.029083743691444397
checkpoint-85000,1.4491829872131348,0.016210589557886124,0.22735674679279327,0.22738131880760193,0.028925716876983643
checkpoint-86000,1.5123748779296875,0.019489489495754242,0.23033331334590912,0.23072920739650726,0.028710097074508667
checkpoint-87000,1.450735092163086,0.020689979195594788,0.22844399511814117,0.2290157675743103,0.02927407994866371
checkpoint-88000,1.282370924949646,0.018007704988121986,0.22210371494293213,0.22241362929344177,0.029932770878076553
checkpoint-89000,1.1271421909332275,0.015095878392457962,0.21628206968307495,0.21628934144973755,0.029853126034140587
checkpoint-90000,1.0990532636642456,0.01476529985666275,0.214701846241951,0.2146475464105606,0.029437771067023277
checkpoint-91000,1.1711854934692383,0.017891131341457367,0.2161387801170349,0.21639148890972137,0.02940959483385086
checkpoint-92000,1.2840005159378052,0.022122718393802643,0.2191593050956726,0.21986430883407593,0.02955285646021366
checkpoint-93000,1.3964711427688599,0.024232758209109306,0.22277472913265228,0.22368749976158142,0.02955435961484909
checkpoint-94000,1.5078688859939575,0.023524006828665733,0.2268027514219284,0.22757621109485626,0.02949257381260395
checkpoint-95000,1.6119972467422485,0.02100256085395813,0.23121100664138794,0.23164920508861542,0.02965182438492775
checkpoint-96000,1.664552927017212,0.018098291009664536,0.2336617410182953,0.23377566039562225,0.029534118250012398
checkpoint-97000,1.6814639568328857,0.01597379706799984,0.23433735966682434,0.23423880338668823,0.029654860496520996
checkpoint-98000,1.6842632293701172,0.014893054030835629,0.2341977059841156,0.23400060832500458,0.029739873483777046
checkpoint-99000,1.684791088104248,0.014505093917250633,0.23406177759170532,0.2338310182094574,0.029790613800287247
checkpoint-100000,1.6849470138549805,0.014450169168412685,0.23404337465763092,0.23380787670612335,0.02980010211467743
