Checkpoint,Global Mean Bias,Per-token Mean Bias,Token Embedding Variability,Mean of RMS,Std of RMS
checkpoint-1000,0.3088885545730591,0.008065285161137581,0.11085870116949081,0.11088123917579651,0.026979180052876472
checkpoint-2000,0.34038618206977844,0.010913051664829254,0.15138132870197296,0.15140336751937866,0.02841190993785858
checkpoint-3000,0.8478959202766418,0.01168781891465187,0.18379679322242737,0.1836552619934082,0.031251318752765656
checkpoint-4000,1.2434104681015015,0.012747250497341156,0.21256032586097717,0.21232815086841583,0.03512046858668327
checkpoint-5000,1.40677809715271,0.016549227759242058,0.23107333481311798,0.23107604682445526,0.03873010352253914
checkpoint-6000,1.4061715602874756,0.022587262094020844,0.23875121772289276,0.23934292793273926,0.04039936512708664
checkpoint-7000,1.4008419513702393,0.025923291221261024,0.24190808832645416,0.24286435544490814,0.04067939519882202
checkpoint-8000,1.495944619178772,0.023322897031903267,0.24721866846084595,0.24781839549541473,0.039786938577890396
checkpoint-9000,1.6612566709518433,0.017748594284057617,0.2555593252182007,0.25550052523612976,0.03831065073609352
checkpoint-10000,1.843193769454956,0.015246594324707985,0.264678031206131,0.26432234048843384,0.03731591999530792
checkpoint-11000,1.9902772903442383,0.0152336610481143,0.2722468674182892,0.2718528211116791,0.03713570162653923
checkpoint-12000,2.0745291709899902,0.01529743243008852,0.27679404616355896,0.2763844430446625,0.0372961163520813
checkpoint-13000,2.1132805347442627,0.015029404312372208,0.2786598801612854,0.27822035551071167,0.03751467913389206
checkpoint-14000,2.1367480754852295,0.015058127231895924,0.27926549315452576,0.278815895318985,0.03772330284118652
checkpoint-15000,2.119746208190918,0.01720275543630123,0.2769055962562561,0.2766099274158478,0.03756307065486908
checkpoint-16000,2.0981993675231934,0.021178513765335083,0.2738003432750702,0.27389413118362427,0.03746848553419113
checkpoint-17000,2.025538921356201,0.02229214645922184,0.26981523633003235,0.270077109336853,0.03785352408885956
checkpoint-18000,1.8061275482177734,0.021040355786681175,0.26171979308128357,0.26193779706954956,0.038879137486219406
checkpoint-19000,1.583478331565857,0.018606942147016525,0.2539481818675995,0.25397226214408875,0.03904067352414131
checkpoint-20000,1.5313409566879272,0.017779339104890823,0.25245872139930725,0.25240328907966614,0.03826216980814934
checkpoint-21000,1.705888271331787,0.016620032489299774,0.2596201002597809,0.2594026029109955,0.036541108042001724
checkpoint-22000,1.9603767395019531,0.01576390489935875,0.27119019627571106,0.2708280086517334,0.035820044577121735
checkpoint-23000,2.1818840503692627,0.016630293801426888,0.2821654677391052,0.2818198800086975,0.036358412355184555
checkpoint-24000,2.3249049186706543,0.019824665039777756,0.28896790742874146,0.2888537049293518,0.03745467960834503
checkpoint-25000,2.3801229000091553,0.02421291545033455,0.2905031740665436,0.2907750904560089,0.03848115727305412
checkpoint-26000,2.368278741836548,0.031891271471977234,0.2888733744621277,0.28994905948638916,0.03903500363230705
checkpoint-27000,2.1300442218780518,0.03473542630672455,0.27793192863464355,0.27949151396751404,0.04002740979194641
checkpoint-28000,1.71878182888031,0.02787647396326065,0.26021087169647217,0.26116836071014404,0.0403762124478817
checkpoint-29000,1.4017153978347778,0.01824093610048294,0.2476969212293625,0.24777154624462128,0.03929991275072098
checkpoint-30000,1.436851143836975,0.01376984640955925,0.24956707656383514,0.24919582903385162,0.03736969828605652
checkpoint-31000,1.703955888748169,0.01692965254187584,0.261331707239151,0.26111680269241333,0.03637634590268135
checkpoint-32000,1.9713629484176636,0.02168828248977661,0.27411189675331116,0.27421361207962036,0.036913227289915085
checkpoint-33000,2.1384687423706055,0.02221705950796604,0.28311148285865784,0.28317415714263916,0.03797432407736778
checkpoint-34000,2.2097384929656982,0.018042970448732376,0.2867659330368042,0.2864460051059723,0.03847404941916466
checkpoint-35000,2.2334392070770264,0.012253823690116405,0.2868785858154297,0.28617656230926514,0.03843427076935768
checkpoint-36000,2.2277612686157227,0.015676001086831093,0.2846527397632599,0.2842019200325012,0.03813235089182854
checkpoint-37000,2.2258493900299072,0.02632817067205906,0.2827509939670563,0.28322911262512207,0.03756841644644737
checkpoint-38000,2.0667386054992676,0.02721305936574936,0.2753436863422394,0.2760078012943268,0.038711607456207275
checkpoint-39000,1.722718358039856,0.020282970741391182,0.26081252098083496,0.2609257996082306,0.03989288955926895
checkpoint-40000,1.495981216430664,0.013838077895343304,0.2516767382621765,0.25130099058151245,0.0395941436290741
checkpoint-41000,1.5434885025024414,0.013692977838218212,0.2538713812828064,0.2534589171409607,0.03817283734679222
checkpoint-42000,1.7613463401794434,0.016840152442455292,0.26379430294036865,0.26357701420783997,0.03697678819298744
checkpoint-43000,2.0052475929260254,0.019636671990156174,0.2756369411945343,0.27559342980384827,0.036814045161008835
checkpoint-44000,2.201082468032837,0.020597495138645172,0.28527387976646423,0.28526365756988525,0.037399113178253174
checkpoint-45000,2.304788589477539,0.019541993737220764,0.29022061824798584,0.290082722902298,0.03803502023220062
checkpoint-46000,2.291433811187744,0.01713738404214382,0.2893390357494354,0.2889758050441742,0.038379259407520294
checkpoint-47000,2.019930601119995,0.017058102414011955,0.2759672701358795,0.2756768465042114,0.039243318140506744
checkpoint-48000,1.6093988418579102,0.018211275339126587,0.25665903091430664,0.25664758682250977,0.039437185972929
