Checkpoint,Global Mean Bias,Per-token Mean Bias,Token Embedding Variability,Mean of RMS,Std of RMS
checkpoint-1000,0.22722512483596802,0.0008371800649911165,0.03027827851474285,0.03027677908539772,0.003935386426746845
checkpoint-2000,0.25164148211479187,0.001047740108333528,0.03691874444484711,0.036918070167303085,0.005727361422032118
checkpoint-3000,0.26330164074897766,0.0011857433710247278,0.04160743206739426,0.04160685837268829,0.006202317774295807
checkpoint-4000,0.27009105682373047,0.0012740970123559237,0.045069869607686996,0.04506879672408104,0.0066345552913844585
checkpoint-5000,0.30331647396087646,0.0013471633428707719,0.0479421392083168,0.0479406863451004,0.00685567082837224
checkpoint-6000,0.27390244603157043,0.001407911884598434,0.05020205304026604,0.05020038038492203,0.007159779313951731
checkpoint-7000,0.33421069383621216,0.0014232187531888485,0.05180692300200462,0.051803890615701675,0.0071214837953448296
checkpoint-8000,0.3946681320667267,0.0014930178876966238,0.054287441074848175,0.054284319281578064,0.0074408105574548244
checkpoint-9000,0.4486705958843231,0.0015021531144157052,0.05547849461436272,0.05547436326742172,0.007203639950603247
checkpoint-10000,0.5489789843559265,0.0015103454934433103,0.0571119599044323,0.05710623413324356,0.007089698687195778
checkpoint-11000,0.6641902327537537,0.0015323077095672488,0.059119731187820435,0.059112511575222015,0.007030959706753492
checkpoint-12000,0.7805323004722595,0.0015598757890984416,0.06125873327255249,0.06125008687376976,0.006994094233959913
checkpoint-13000,0.767295241355896,0.0015903761377558112,0.06228458508849144,0.06227593868970871,0.0073217484168708324
checkpoint-14000,0.8319838047027588,0.0016040913760662079,0.06351833045482635,0.0635087862610817,0.007097620517015457
checkpoint-15000,0.9260594844818115,0.0016116189071908593,0.06494421511888504,0.06493334472179413,0.00692266458645463
checkpoint-16000,1.0221683979034424,0.0016260917764157057,0.0666629895567894,0.06665072590112686,0.006859548389911652
checkpoint-17000,1.0490680932998657,0.0016577581409364939,0.0681401714682579,0.06812746822834015,0.007158046588301659
checkpoint-18000,1.0815746784210205,0.0016906025120988488,0.06947460025548935,0.06946169584989548,0.007297201547771692
checkpoint-19000,1.169804573059082,0.0016883941134437919,0.07074139267206192,0.07072702795267105,0.007103656884282827
checkpoint-20000,1.255845308303833,0.0016880790935829282,0.07221762835979462,0.0722016841173172,0.00700958538800478
checkpoint-21000,1.3380204439163208,0.0016885804943740368,0.0737546905875206,0.07373716682195663,0.006965503096580505
checkpoint-22000,1.351415753364563,0.0016984437825158238,0.07478722929954529,0.07476895302534103,0.007156115025281906
checkpoint-23000,1.4252084493637085,0.0016827386571094394,0.07590718567371368,0.07588722556829453,0.007023887243121862
checkpoint-24000,1.4474753141403198,0.0017048381268978119,0.07684352993965149,0.07682342082262039,0.0071406178176403046
