Checkpoint,Global Mean Bias,Per-token Mean Bias,Token Embedding Variability,Mean of RMS,Std of RMS
checkpoint-1000,0.22988387942314148,0.0008407471468672156,0.03046957589685917,0.030467985197901726,0.003990895580500364
checkpoint-2000,0.26634401082992554,0.0010777165880426764,0.03922172263264656,0.039219457656145096,0.005548723973333836
checkpoint-3000,0.26699066162109375,0.0012123771011829376,0.0441860631108284,0.04418345168232918,0.006386763881891966
checkpoint-4000,0.27859199047088623,0.0013050881680101156,0.04765529930591583,0.0476524643599987,0.007418887689709663
checkpoint-5000,0.29319924116134644,0.0013896531891077757,0.05096147209405899,0.05095814913511276,0.007743666879832745
checkpoint-6000,0.30460435152053833,0.001461379579268396,0.05383336544036865,0.053829554468393326,0.008037804625928402
checkpoint-7000,0.35120832920074463,0.0015169443795457482,0.05630612000823021,0.0563015416264534,0.008185481652617455
checkpoint-8000,0.3620795011520386,0.0015806955052539706,0.058885931968688965,0.058880891650915146,0.008446619845926762
checkpoint-9000,0.38672488927841187,0.0016297384863719344,0.06067131459712982,0.060666099190711975,0.00856288056820631
checkpoint-10000,0.4778973162174225,0.0016812521498650312,0.06259489059448242,0.0625893846154213,0.008582405745983124
checkpoint-11000,0.5922142863273621,0.001740295090712607,0.06469498574733734,0.06468932330608368,0.008548750542104244
checkpoint-12000,0.6866894364356995,0.0018020154675468802,0.0673593208193779,0.0673530101776123,0.008747934363782406
checkpoint-13000,0.7285376787185669,0.0018247334519401193,0.06802468001842499,0.06801853328943253,0.008522369898855686
checkpoint-14000,0.8019497394561768,0.0018648161785677075,0.06951789557933807,0.06951163709163666,0.00843100342899561
checkpoint-15000,0.8311817049980164,0.0019131306326016784,0.07136781513690948,0.07136142253875732,0.008709408342838287
checkpoint-16000,0.8901644945144653,0.001951503800228238,0.07264295220375061,0.07263645529747009,0.008629169315099716
checkpoint-17000,0.986128032207489,0.0020076960790902376,0.07449189573526382,0.07448538392782211,0.008563737384974957
checkpoint-18000,0.9687007665634155,0.0020462386310100555,0.07601820677518845,0.0760115534067154,0.008896770887076855
checkpoint-19000,1.0446927547454834,0.0020905043929815292,0.07720892131328583,0.07720249891281128,0.008748880587518215
checkpoint-20000,1.139051079750061,0.0021567672956734896,0.07890777289867401,0.07890181243419647,0.008663145825266838
checkpoint-21000,1.1581929922103882,0.0022015415597707033,0.08067397028207779,0.08066776394844055,0.00895897950977087
checkpoint-22000,1.2362827062606812,0.0022508972324430943,0.08182442933320999,0.08181870728731155,0.00886134896427393
checkpoint-23000,1.3248658180236816,0.002323723863810301,0.08334264904260635,0.08333783596754074,0.008774230256676674
checkpoint-24000,1.4165364503860474,0.0024087566416710615,0.08502497524023056,0.08502127230167389,0.008718482218682766
checkpoint-25000,1.5062206983566284,0.002496567089110613,0.08672160655260086,0.08671902120113373,0.008683637715876102
checkpoint-26000,1.5922268629074097,0.002583538880571723,0.08838147670030594,0.08837998658418655,0.008663150481879711
checkpoint-27000,1.5778882503509521,0.002618619939312339,0.08896329253911972,0.08896268159151077,0.008815182372927666
checkpoint-28000,1.6352421045303345,0.0026598679833114147,0.08981162309646606,0.08981126546859741,0.008677013218402863
checkpoint-29000,1.6983222961425781,0.0027155426796525717,0.09102901071310043,0.09102906286716461,0.008631527423858643
checkpoint-30000,1.628525972366333,0.002640044316649437,0.09122955054044724,0.09122700244188309,0.009306314401328564
checkpoint-31000,1.658697247505188,0.0026681723538786173,0.091997429728508,0.09199503064155579,0.009090905077755451
checkpoint-32000,1.7189006805419922,0.0027264810632914305,0.09305822849273682,0.09305659681558609,0.009008785709738731
checkpoint-33000,1.7907681465148926,0.002800777554512024,0.09449697285890579,0.0944962278008461,0.009001233614981174
checkpoint-34000,1.8643549680709839,0.002877413062378764,0.0960133820772171,0.09601345658302307,0.009031486697494984
checkpoint-35000,1.9356017112731934,0.00295204552821815,0.09748828411102295,0.09748902916908264,0.009072591550648212
checkpoint-36000,2.0029611587524414,0.003018176881596446,0.09888298064470291,0.09888419508934021,0.009117867797613144
checkpoint-37000,1.968371033668518,0.0030068159103393555,0.09894240647554398,0.09894371032714844,0.009242119267582893
checkpoint-38000,2.0135505199432373,0.003049310529604554,0.09965241700410843,0.09965416043996811,0.009202617220580578
checkpoint-39000,2.068030595779419,0.003106137039139867,0.10074014961719513,0.1007423922419548,0.009221550077199936
checkpoint-40000,2.1254265308380127,0.003165670670568943,0.10197627544403076,0.10197887569665909,0.009283198043704033
checkpoint-41000,2.0998587608337402,0.0031641272362321615,0.10221472382545471,0.10221726447343826,0.009306238032877445
checkpoint-42000,2.144831418991089,0.003199577797204256,0.10296691954135895,0.10296950489282608,0.00929947942495346
checkpoint-43000,2.1920158863067627,0.0032375764567404985,0.10392151772975922,0.10392407327890396,0.009336500428617
checkpoint-44000,2.1443252563476562,0.003234423464164138,0.10385460406541824,0.10385789722204208,0.009532874450087547
checkpoint-45000,2.1914334297180176,0.0032752114348113537,0.10472317039966583,0.10472656041383743,0.00959276407957077
checkpoint-46000,2.244051933288574,0.003320271847769618,0.10581758618354797,0.10582098364830017,0.009672639891505241
checkpoint-47000,2.2963294982910156,0.0033640095498412848,0.10694745928049088,0.10695072263479233,0.009773097932338715
checkpoint-48000,2.3462741374969482,0.0034011416137218475,0.10803216695785522,0.10803508013486862,0.009880711324512959
checkpoint-49000,2.303954839706421,0.0033826306462287903,0.10795019567012787,0.10795333981513977,0.009986050426959991
checkpoint-50000,2.340399980545044,0.003408476011827588,0.10850284993648529,0.10850600898265839,0.009997273795306683
checkpoint-51000,2.3814761638641357,0.003440975211560726,0.10928851366043091,0.10929153859615326,0.010055160149931908
checkpoint-52000,2.4244418144226074,0.003471322823315859,0.11019633710384369,0.11019907891750336,0.010142559185624123
checkpoint-53000,2.4069747924804688,0.003479252802208066,0.11042975634336472,0.11043296009302139,0.010237970389425755
checkpoint-54000,2.4385504722595215,0.0034704336430877447,0.11093404144048691,0.11093601584434509,0.010283717885613441
checkpoint-55000,2.473771095275879,0.0034684089478105307,0.11163470894098282,0.1116354763507843,0.010357115417718887
checkpoint-56000,2.406870126724243,0.0034102785866707563,0.11088559031486511,0.11088583618402481,0.010178998112678528
checkpoint-57000,2.4150068759918213,0.0033850204199552536,0.11098026484251022,0.11097951233386993,0.010240057483315468
checkpoint-58000,2.446863889694214,0.003386525670066476,0.11153971403837204,0.1115381196141243,0.010301141068339348
checkpoint-59000,2.420781135559082,0.003414054401218891,0.11181125789880753,0.11181073635816574,0.010417371056973934
checkpoint-60000,2.446187734603882,0.0034053027629852295,0.1121663972735405,0.11216504126787186,0.010433925315737724
checkpoint-61000,2.4795022010803223,0.003407086478546262,0.11278009414672852,0.11277787387371063,0.010495156049728394
checkpoint-62000,2.516714334487915,0.003413818310946226,0.11354654282331467,0.11354344338178635,0.010588357225060463
checkpoint-63000,2.4699740409851074,0.00337660382501781,0.11337129026651382,0.11336757987737656,0.010555959306657314
checkpoint-64000,2.494490623474121,0.0033952135127037764,0.11380437761545181,0.11380073428153992,0.010547208599746227
checkpoint-65000,2.522675037384033,0.003410520264878869,0.11422868072986603,0.1142248809337616,0.010580984875559807
checkpoint-66000,2.555985689163208,0.003431846620514989,0.1148713007569313,0.11486730724573135,0.010657979175448418
checkpoint-67000,2.5907135009765625,0.0034511021804064512,0.11558564752340317,0.11558128148317337,0.01075400598347187
checkpoint-68000,2.6246368885040283,0.003467257134616375,0.11629332602024078,0.11628849059343338,0.010854893364012241
checkpoint-69000,2.597787380218506,0.0034297199454158545,0.11632871627807617,0.11632298678159714,0.010806377045810223
checkpoint-70000,2.6223361492156982,0.0034606223925948143,0.11662941426038742,0.11662416160106659,0.010845408774912357
checkpoint-71000,2.5852925777435303,0.003489758586511016,0.11632359027862549,0.11632020771503448,0.010723413899540901
checkpoint-72000,2.597011089324951,0.0035168109461665154,0.11647269129753113,0.11647005379199982,0.010800057090818882
checkpoint-73000,2.6232833862304688,0.0035446560941636562,0.11686670035123825,0.11686424911022186,0.01086924597620964
checkpoint-74000,2.654085636138916,0.003569359192624688,0.11744137108325958,0.11743883043527603,0.010971441864967346
checkpoint-75000,2.6849682331085205,0.0035900010261684656,0.11805117875337601,0.11804836988449097,0.011084642261266708
checkpoint-76000,2.7146403789520264,0.003606034442782402,0.11864353716373444,0.11864031106233597,0.011196223087608814
checkpoint-77000,2.742522954940796,0.003618302522227168,0.11919981241226196,0.11919611692428589,0.011307697743177414
checkpoint-78000,2.689321994781494,0.00359518313780427,0.11858102679252625,0.11857780069112778,0.011133278720080853
checkpoint-79000,2.7056775093078613,0.0036120344884693623,0.11882088333368301,0.11881770938634872,0.01117780152708292
checkpoint-80000,2.7279200553894043,0.0036285165697336197,0.11913266777992249,0.11912938952445984,0.011239860206842422
checkpoint-81000,2.753706932067871,0.00364323565736413,0.11960703879594803,0.11960342526435852,0.011339721269905567
checkpoint-82000,2.7263333797454834,0.0036484049633145332,0.11957501620054245,0.11957244575023651,0.011091155931353569
checkpoint-83000,2.7212910652160645,0.00366363232024014,0.11938627809286118,0.11938445270061493,0.011148033663630486
checkpoint-84000,2.7334110736846924,0.003683071117848158,0.11943523585796356,0.11943382769823074,0.011259305290877819
checkpoint-85000,2.6851682662963867,0.0036962644662708044,0.1188899576663971,0.11889035999774933,0.011243283748626709
checkpoint-86000,2.690786361694336,0.003699428169056773,0.11911801993846893,0.11911815404891968,0.011377825401723385
checkpoint-87000,2.711975574493408,0.003709726966917515,0.11941251903772354,0.11941233277320862,0.01146263163536787
checkpoint-88000,2.740011215209961,0.003718652995303273,0.11993004381656647,0.11992921680212021,0.011576417833566666
checkpoint-89000,2.768536329269409,0.0037225857377052307,0.12049514800310135,0.12049350142478943,0.011684171855449677
checkpoint-90000,2.7460105419158936,0.0036968477070331573,0.12039041519165039,0.12038838118314743,0.011625236831605434
checkpoint-91000,2.760460138320923,0.0037079157773405313,0.12080695480108261,0.12080476433038712,0.01160434726625681
checkpoint-92000,2.7812864780426025,0.003714818973094225,0.12108007818460464,0.1210775300860405,0.011672226712107658
checkpoint-93000,2.810680389404297,0.0037227324210107327,0.12163969874382019,0.12163643538951874,0.01178337074816227
checkpoint-94000,2.844886064529419,0.0037332347128540277,0.12236811965703964,0.12236405164003372,0.011907890439033508
checkpoint-95000,2.879817008972168,0.003746871603652835,0.12314871698617935,0.12314388900995255,0.012036142870783806
checkpoint-96000,2.911038875579834,0.003761531552299857,0.1238659992814064,0.12386058270931244,0.012144063599407673
checkpoint-97000,2.9351966381073,0.0037748711183667183,0.12443358451128006,0.12442777305841446,0.012233356945216656
checkpoint-98000,2.950145959854126,0.0037838986609131098,0.12479159981012344,0.12478553503751755,0.012288094498217106
checkpoint-99000,2.9564199447631836,0.0037880034651607275,0.12494435161352158,0.1249382346868515,0.012311875820159912
checkpoint-100000,2.9573867321014404,0.003788587637245655,0.12496818602085114,0.12496204674243927,0.01231552753597498
