Checkpoint,Global Mean Bias,Per-token Mean Bias,Token Embedding Variability,Mean of RMS,Std of RMS
checkpoint-1000,0.20258621871471405,0.0009861435974016786,0.030194232240319252,0.03019912727177143,0.004807318560779095
checkpoint-2000,0.22762276232242584,0.0012161604827269912,0.03888097405433655,0.03888500854372978,0.006078424397855997
checkpoint-3000,0.19785059988498688,0.001313705462962389,0.04307396337389946,0.043077174574136734,0.006929386872798204
checkpoint-4000,0.21272245049476624,0.0014323514187708497,0.0461457334458828,0.04615035653114319,0.007329233922064304
checkpoint-5000,0.24958758056163788,0.001525210333056748,0.04892468824982643,0.04892979562282562,0.007566502783447504
checkpoint-6000,0.3476221263408661,0.0016401013126596808,0.05148552358150482,0.05149248242378235,0.0075734141282737255
checkpoint-7000,0.4859083890914917,0.001785673899576068,0.05452308803796768,0.05453244224190712,0.007868940941989422
checkpoint-8000,0.5775070190429688,0.0019087400287389755,0.05665165185928345,0.05666370689868927,0.007727047428488731
checkpoint-9000,0.6977420449256897,0.0020451706368476152,0.05910268798470497,0.059117384254932404,0.007592969574034214
checkpoint-10000,0.8273024559020996,0.002186954952776432,0.06177936866879463,0.06179650127887726,0.007511768490076065
checkpoint-11000,0.9526380896568298,0.002323359716683626,0.06442736834287643,0.06444653868675232,0.007449916563928127
checkpoint-12000,1.0693612098693848,0.0024438840337097645,0.06695333123207092,0.06697392463684082,0.007401642389595509
checkpoint-13000,1.1765114068984985,0.002549521392211318,0.0693173035979271,0.06933874636888504,0.007370893843472004
checkpoint-14000,1.2760432958602905,0.002645440399646759,0.07155593484640121,0.0715780034661293,0.0073617929592728615
checkpoint-15000,1.371413230895996,0.002743531484156847,0.07372184842824936,0.07374457269906998,0.007367197889834642
checkpoint-16000,1.4633830785751343,0.0028400279115885496,0.07582194358110428,0.0758453756570816,0.007402620278298855
checkpoint-17000,1.5521072149276733,0.0029347131494432688,0.07786687463521957,0.07789097726345062,0.007458903826773167
checkpoint-18000,1.637305736541748,0.003036599839106202,0.07984676212072372,0.07987190783023834,0.007523057982325554
checkpoint-19000,1.7184916734695435,0.0031431764364242554,0.08175170421600342,0.08177821338176727,0.007608287967741489
checkpoint-20000,1.795528769493103,0.0032556410878896713,0.08357838541269302,0.08360664546489716,0.0077020032331347466
checkpoint-21000,1.868742823600769,0.0033751707524061203,0.08533445000648499,0.08536484837532043,0.007813217118382454
checkpoint-22000,1.9381680488586426,0.0034953360445797443,0.08701881021261215,0.08705148845911026,0.007921754382550716
checkpoint-23000,2.0035653114318848,0.0036097015254199505,0.08862397074699402,0.08865883201360703,0.008042365312576294
