Checkpoint,Global Mean Bias,Per-token Mean Bias,Token Embedding Variability,Mean of RMS,Std of RMS
checkpoint-1000,0.21500030159950256,0.0010049926349893212,0.030632540583610535,0.030637821182608604,0.004867934621870518
checkpoint-2000,0.2424100786447525,0.0012697216589003801,0.03994506970047951,0.0399504192173481,0.00637171883136034
checkpoint-3000,0.20483189821243286,0.0013769706711173058,0.044891197234392166,0.04489495977759361,0.007359957322478294
checkpoint-4000,0.21775129437446594,0.0015091137029230595,0.04896854981780052,0.04897293075919151,0.007819903083145618
checkpoint-5000,0.2672770321369171,0.0016284496523439884,0.05240895226597786,0.0524141751229763,0.008179070428013802
checkpoint-6000,0.36301398277282715,0.0017586868489161134,0.05490507930517197,0.054912857711315155,0.008636463433504105
checkpoint-7000,0.4218840003013611,0.0018006135942414403,0.05757609009742737,0.05758199468255043,0.009073654189705849
checkpoint-8000,0.4671719968318939,0.0018736588535830379,0.05992458760738373,0.05993076413869858,0.008890296332538128
checkpoint-9000,0.5452487468719482,0.0019494189182296395,0.06251850724220276,0.0625247210264206,0.008855631574988365
checkpoint-10000,0.6596050262451172,0.002033265307545662,0.06535216420888901,0.06535830348730087,0.008870463818311691
checkpoint-11000,0.793558657169342,0.002120640594512224,0.0682867169380188,0.06829274445772171,0.008874453604221344
checkpoint-12000,0.9153406023979187,0.002184035489335656,0.0709722638130188,0.0709775760769844,0.00909323338419199
checkpoint-13000,0.9634096026420593,0.002222271403297782,0.071974977850914,0.0719805434346199,0.008811655454337597
checkpoint-14000,1.0362553596496582,0.0022679453250020742,0.07390513271093369,0.07391008734703064,0.00872617308050394
checkpoint-15000,1.1376264095306396,0.002325796289369464,0.0764257088303566,0.0764298215508461,0.008756831288337708
checkpoint-16000,1.2101209163665771,0.002419751835986972,0.0785914957523346,0.07859686017036438,0.009055542759597301
checkpoint-17000,1.261739730834961,0.002447370672598481,0.07966595143079758,0.07967103272676468,0.0089943315833807
checkpoint-18000,1.3313921689987183,0.002492439467459917,0.08140484988689423,0.08140953630208969,0.008996272459626198
